"","Taxa","Locality","Count","Rank","Unit","abndance","taxa"
"358",".Suidae","P47.U1",3,10,"U1",0.833333333333333,"Suid"
"359",".Anthracotheriidae","P47.U1",3,11,"U1",0.916666666666667,"Anth"
"360",".Bovidae","P47.U1",7,12,"U1",1,"Bovi"
"361",".Primate","P48.U1",0,1,"U1",0.0833333333333333,"Prim"
"362",".Cetacea","P48.U1",0,2,"U1",0.166666666666667,"Ceta"
"363",".Sirenia","P48.U1",0,3,"U1",0.25,"Sire"
"364",".Proboscidea","P48.U1",0,4,"U1",0.333333333333333,"Prob"
"365",".Equidae","P48.U1",0,5,"U1",0.416666666666667,"Equi"
"366",".Rhinocerotidae","P48.U1",0,6,"U1",0.5,"Rhin"
"367",".Giraffidae","P48.U1",0,7,"U1",0.583333333333333,"Gira"
"368",".Carnivors","P48.U1",1,8,"U1",0.666666666666667,"Carn"
